SalesDate, Quantity
2017-01-15,1070
2017-01-16,1077
2017-01-17,950
2017-01-18,938
2017-01-19,979
2017-01-20,987
2017-01-21,1020
2017-01-22,981
2017-01-23,992
2017-01-24,1000
2017-01-25,906
2017-01-26,983
2017-01-27,924
2017-01-28,998
2017-01-29,912
2017-01-30,764
2017-01-31,883
2017-02-01,944
2017-02-02,789
2017-02-03,796
2017-02-04,706
2017-02-05,745
2017-02-06,810
2017-02-07,877
2017-02-08,748
2017-02-09,746
2017-02-10,799
2017-02-11,776
2017-02-12,802
2017-02-13,864
2017-02-14,822
2017-02-15,765
2017-02-16,824
2017-02-17,861
2017-02-18,874
2017-02-19,875
2017-02-20,772
2017-02-21,725
2017-02-22,783
2017-02-23,965
2017-02-24,928
2017-02-25,808
2017-02-26,801
2017-02-27,863
2017-02-28,811
2017-03-01,1071
2017-03-02,869
2017-03-03,724
2017-03-04,841
2017-03-05,804
2017-03-06,935
2017-03-07,872
2017-03-09,925
2017-03-11,891
2017-03-12,1060
2017-03-13,879
2017-03-14,872
2017-03-15,956
2017-03-16,1002
2017-03-17,904
2017-03-18,1017
2017-03-19,941
2017-03-20,1070
2017-03-21,972
2017-03-23,1062
2017-03-24,974
2017-03-25,852
2017-03-26,1057
2017-03-27,874
2017-03-28,938
2017-03-29,988
2017-03-31,984
2017-04-01,1171
2017-04-02,1039
2017-04-03,1007
2017-04-04,943
2017-04-05,1088
2017-04-09,972
2017-04-10,1027
2017-04-12,1033
2017-04-13,989
2017-04-14,1075
2017-04-15,1066
2017-04-16,988
2017-04-17,1107
2017-04-18,1028
2017-04-19,1067
2017-04-20,956
2017-04-21,989
2017-04-22,1023
2017-04-23,1025
2017-04-25,960
2017-04-26,944
2017-04-27,1226
2017-04-28,932
2017-04-29,1017
2017-04-30,1141
2017-05-01,1032
2017-05-02,1148
2017-05-04,1196
2017-05-05,1151
2017-05-06,1300
2017-05-07,1040
2017-05-08,1087
2017-05-09,1168
2017-05-10,1097
2017-05-11,1067
2017-05-12,1274
2017-05-13,1267
2017-05-14,1274
2017-05-15,1227
2017-05-16,1145
2017-05-17,1139
2017-05-18,1102
2017-05-19,1304
2017-05-21,1242
2017-05-22,1197
2017-05-23,1206
2017-05-24,1175
2017-05-25,1311
2017-05-26,1188
2017-05-27,1244
2017-05-28,1182
2017-05-29,1147
2017-05-30,1372
2017-05-31,1212
2017-06-01,1186
2017-06-02,1363
2017-06-03,1115
2017-06-04,1241
2017-06-05,1169
2017-06-06,1291
2017-06-07,1195
2017-06-08,1341
2017-06-09,1219
2017-06-10,1108
2017-06-11,1199
2017-06-12,1378
2017-06-13,1147
2017-06-14,1284
2017-06-15,1271
2017-06-16,1235
2017-06-17,1243
2017-06-18,1320
2017-06-19,1169
2017-06-20,1232
2017-06-21,1349
2017-06-22,1080
2017-06-23,1257
2017-06-24,1288
2017-06-26,1200
2017-06-27,1295
2017-06-28,1172
2017-06-29,1237
2017-06-30,1174
2017-07-01,1325
2017-07-02,1398
2017-07-03,1277
2017-07-04,1379
2017-07-05,1367
2017-07-06,1386
2017-07-07,1294
2017-07-08,1350
2017-07-09,1390
2017-07-10,1259
2017-07-11,1235
2017-07-12,1312
2017-07-13,1453
2017-07-15,1370
2017-07-16,1403
2017-07-17,1362
2017-07-18,1194
2017-07-19,1302
2017-07-20,1328
2017-07-21,1299
2017-07-22,1302
2017-07-23,1350
2017-07-24,1414
2017-07-25,1198
2017-07-26,1222
2017-07-28,1174
2017-07-29,1323
2017-07-30,1321
2017-07-31,1357
2017-08-01,1220
2017-08-02,1256
2017-08-03,1306
2017-08-04,1278
2017-08-05,1291
2017-08-06,1250
2017-08-07,1287
2017-08-09,1318
2017-08-10,1190
2017-08-11,1258
2017-08-12,1275
2017-08-13,1181
2017-08-14,1216
2017-08-15,1174
2017-08-16,1332
2017-08-17,1162
2017-08-18,1148
2017-08-19,1185
2017-08-20,1114
2017-08-21,1176
2017-08-22,1157
2017-08-23,1016
2017-08-25,1179
2017-08-26,1095
2017-08-27,1143
2017-08-28,1156
2017-08-29,1221
2017-08-30,1067
2017-08-31,1145
2017-09-01,994
2017-09-02,1026
2017-09-03,1085
2017-09-05,1077
2017-09-06,999
2017-09-08,1079
2017-09-09,981
2017-09-10,1114
2017-09-11,1122
2017-09-12,992
2017-09-13,1038
2017-09-15,1064
2017-09-16,1040
2017-09-17,931
2017-09-18,996
2017-09-19,894
2017-09-20,1016
2017-09-21,1088
2017-09-22,869
2017-09-23,1036
2017-09-24,871
2017-09-25,894
2017-09-26,977
2017-09-27,1029
2017-09-28,862
2017-09-29,805
2017-09-30,998
2017-10-01,874
2017-10-02,870
2017-10-03,894
2017-10-04,902
2017-10-05,931
2017-10-06,893
2017-10-07,931
2017-10-08,1020
2017-10-09,965
2017-10-10,898
